Donation ID,Date,Donor Name,Email,Amount,Validation_Tier,Issues,Suggested_Modifications
GB501,6/7/2026,Sam Lee,sam@gnail.com,"1,500",WARNING,None,Email typo detected. Consider: sam@gmail.com; High-dollar donation (>= $1000)
GB502,2026-06-07,Taylor Kim,taylor@gmail.co,2500.999,WARNING,None,High-dollar donation (>= $1000)
GB503,2026-06-08,Riley Park,riley@gmail.con,-0.01,FAIL,Amount: Amount must be greater than 0,
GB504,2026-06-08,Morgan Yu,morgan@outlok.com,1000000000,WARNING,None,Email typo detected. Consider: morgan@outlook.com; Amount above typical range ($100000)
GB505,2026-06-09,Casey Wu,casey@gmail.com.,,FAIL,Amount: Missing amount,
GB506,2026-06-09,Jordan Li,jordan@gmail..com,75,PASS,None,
GB507,2026-06-10,Avery Ng,avery@GMAIL.COM ,$ 2 000,FAIL,Amount: Invalid amount format,
GB508,2026-06-10,Pat Quinn,pat@ymail.com,1500,WARNING,None,High-dollar donation (>= $1000)
GB509,2026-06-11,Lee Chen,lee@googlemail.com,1250.5,WARNING,None,High-dollar donation (>= $1000)
GB510,20260612,Samir Patel,samir@protonmail.ch,NaN,PASS,None,
GB511,2026-06-12,Nora White,nora@ gmail.com,  300.00  ,PASS,None,
GB512,2026-06-13,Omar Khan,omar@GMAIL.COM,"2,500.00",WARNING,None,High-dollar donation (>= $1000)
